,Passive suicidal ideation,Passive suicidal ideation_include,Passive suicidal ideation_add,Active suicidal ideation & suicidal planning,Active suicidal ideation & suicidal planning_include,Active suicidal ideation & suicidal planning_add,Lethal means for suicide,Lethal means for suicide_include,Lethal means for suicide_add,Direct self-injury,Direct self-injury_include,Direct self-injury_add,Suicide exposure,Suicide exposure_include,Suicide exposure_add,Other suicidal language,Other suicidal language_include,Other suicidal language_add,Hospitalization,Hospitalization_include,Hospitalization_add,Loneliness & isolation,Loneliness & isolation_include,Loneliness & isolation_add,Social withdrawal,Social withdrawal_include,Social withdrawal_add,Relationship issues,Relationship issues_include,Relationship issues_add,Relationships & kinship,Relationships & kinship_include,Relationships & kinship_add,Bullying,Bullying_include,Bullying_add,Sexual abuse & harassment,Sexual abuse & harassment_include,Sexual abuse & harassment_add,Physical abuse & violence,Physical abuse & violence_include,Physical abuse & violence_add,Aggression & irritability,Aggression & irritability_include,Aggression & irritability_add,Alcohol use,Alcohol use_include,Alcohol use_add,Other substance use,Other substance use_include,Other substance use_add,Impulsivity,Impulsivity_include,Impulsivity_add,Defeat & feeling like a failure,Defeat & feeling like a failure_include,Defeat & feeling like a failure_add,Burdensomeness,Burdensomeness_include,Burdensomeness_add,"Shame, self-disgust, & worthlessness","Shame, self-disgust, & worthlessness_include","Shame, self-disgust, & worthlessness_add",Guilt,Guilt_include,Guilt_add,Anxiety,Anxiety_include,Anxiety_add,Panic,Panic_include,Panic_add,Entrapment & desire to escape,Entrapment & desire to escape_include,Entrapment & desire to escape_add,Trauma & PTSD,Trauma & PTSD_include,Trauma & PTSD_add,Agitation,Agitation_include,Agitation_add,Rumination,Rumination_include,Rumination_add,Depressed mood,Depressed mood_include,Depressed mood_add,Anhedonia & uninterested,Anhedonia & uninterested_include,Anhedonia & uninterested_add,Emotional pain & psychache,Emotional pain & psychache_include,Emotional pain & psychache_add,Grief & bereavement,Grief & bereavement_include,Grief & bereavement_add,Existential meaninglessness & purposelessness,Existential meaninglessness & purposelessness_include,Existential meaninglessness & purposelessness_add,Emptiness,Emptiness_include,Emptiness_add,Hopelessness,Hopelessness_include,Hopelessness_add,Perfectionism,Perfectionism_include,Perfectionism_add,Fatigue & tired,Fatigue & tired_include,Fatigue & tired_add,Sleep issues,Sleep issues_include,Sleep issues_add,Psychosis & schizophrenia,Psychosis & schizophrenia_include,Psychosis & schizophrenia_add,Bipolar Disorder,Bipolar Disorder_include,Bipolar Disorder_add,Borderline Personality Disorder,Borderline Personality Disorder_include,Borderline Personality Disorder_add,Eating disorders,Eating disorders_include,Eating disorders_add,Physical health issues & disability,Physical health issues & disability_include,Physical health issues & disability_add,Incarceration,Incarceration_include,Incarceration_add,Poverty & homelessness,Poverty & homelessness_include,Poverty & homelessness_add,Gender & sexual identity,Gender & sexual identity_include,Gender & sexual identity_add,Discrimination,Discrimination_include,Discrimination_add,Finances & work stress,Finances & work stress_include,Finances & work stress_add,Barriers to treatment,Barriers to treatment_include,Barriers to treatment_add,Mental health treatment,Mental health treatment_include,Mental health treatment_add
176,,,,,,,,,,,,,,,,,,,,,,no one will miss I,,,,,,resentment,,,goddaughter,,,,,,,,,pull my hair,,,oppose,,,,,,12 step,,,,,,,,,,,,,,,,,,unnerved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unhealthy weight,,,malnourished,,,,,,,,,gender,,,ancestry,,,get fire,,,,,,sertraline,,
177,,,,,,,,,,,,,,,,,,,,,,no partner,,,,,,rivalry,,,godfather,,,,,,,,,punch,,,outburst,,,,,,8 ball,,,,,,,,,,,,,,,,,,worried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very thin,,,malnutrition,,,,,,,,,gender apathetic,,,anti - semitism,,,grievance,,,,,,stimulant,,
178,,,,,,,,,,,,,,,,,,,,,,no social life,,,,,,self - center,,,godmother,,,,,,,,,punch I,,,petulant,,,,,,adderall,,,,,,,,,,,,,,,,,,worry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vomit,,,meningitis,,,,,,,,,gender binary,,,antifeminis,,,hustler,,,,,,stomach pump,,
179,,,,,,,,,,,,,,,,,,,,,,nobody think about I,,,,,,selfish,,,godparent,,,,,,,,,push,,,piss off,,,,,,ambien,,,,,,,,,,,,,,,,,,xanax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight,,,metastasis,,,,,,,,,gender diverse,,,antiracis,,,impoverished,,,,,,stress management,,
180,,,,,,,,,,,,,,,,,,,,,,nobody want I here,,,,,,separation,,,godson,,,,,,,,,push I,,,predatory,,,,,,Ativan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weightlift,,,migraine,,,,,,,,,gender dysphoria,,,antisemite,,,income,,,,,,support group,,
181,,,,,,,,,,,,,,,,,,,,,,not in a relationship,,,,,,sex,,,grandchild,,,,,,,,,report he,,,quarrel,,,,,,Celexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weightloss,,,miscarriage,,,,,,,,,gender expansive,,,antisemitism,,,inflation,,,,,,talk to someone,,
182,,,,,,,,,,,,,,,,,,,,,,not marry,,,,,,sexual abuse,,,grandchild,,,,,,,,,restrain,,,rage,,,,,,DMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worry about weight,,,nausea,,,,,,,,,gender expression,,,apartheid,,,insurance,,,,,,therapist,,
183,,,,,,,,,,,,,,,,,,,,,,not popular,,,,,,she be toxic,,,granddaughter,,,,,,,,,restrain order,,,rage,,,,,,DXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you be fat,,,obesity,,,,,,,,,gender identity,,,be partial,,,investment,,,,,,therapy,,
184,,,,,,,,,,,,,,,,,,,,,,one friend,,,,,,silent treatment,,,granddaughter,,,,,,,,,rough up,,,resent,,,,,,ghb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,osteoporosis,,,,,,,,,gender nonconforming,,,beaner,,,job,,,,,,to the er,,
185,,,,,,,,,,,,,,,,,,,,,,outcast,,,,,,single dad,,,grandfather,,,,,,,,,self - defense,,,resentment,,,,,,I get high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain,,,,,,,,,gender role,,,bias,,,job security,,,,,,transcranial magnetic stimulation,,
186,,,,,,,,,,,,,,,,,,,,,,outlier,,,,,,single mom,,,grandma,,,,,,,,,shake I,,,restlessness,,,,,,I be high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,panic attack,,,,,,,,,gender variant,,,bigot,,,jobless,,,,,,treat for,,
187,,,,,,,,,,,,,,,,,,,,,,people be not care,,,,,,single parent,,,grandmother,,,,,,,,,shoot I,,,rile,,,,,,I be clean now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parkinson 's,,,,,,,,,genderfluid,,,bigotry,,,lay off,,,,,,visit the er,,
188,,,,,,,,,,,,,,,,,,,,,,peripheral,,,,,,stonewall,,,grandpa,,,,,,,,,shout,,,scream,,,,,,I be hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,period pain,,,,,,,,,genderqueer,,,biphobi,,,landlord,,,,,,vitamin,,
189,,,,,,,,,,,,,,,,,,,,,,quarantine,,,,,,they be toxic,,,grandparent,,,,,,,,,shove,,,seethe,,,,,,I be so high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pneumonia,,,,,,,,,girl,,,call I name,,,layoff,,,,,,yoga,,
190,,,,,,,,,,,,,,,,,,,,,,reclusive,,,,,,toxic relationship,,,grandparent,,,,,,,,,slam the door,,,sensitive,,,,,,I 've be clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rash,,,,,,,,,graysexual,,,caste system,,,loan,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,seclusion,,,,,,toxic relatioship,,,grandson,,,,,,,,,slam I,,,snappy,,,,,,IOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sclerosis,,,,,,,,,gynesexual,,,casteism,,,lose my scholarship,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,shy,,,,,,treat I bad,,,grandson,,,,,,,,,slap,,,spiteful,,,,,,k2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,see impaired,,,,,,,,,gynosexual,,,chauvinis,,,make end meet,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,single dad,,,,,,treat I like garbage,,,granny,,,,,,,,,slap I,,,temperamental,,,,,,LSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seizure,,,,,,,,,hermie,,,chauvinist,,,million,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,single mom,,,,,,unfaithful,,,half - brother,,,,,,,,,smack,,,tense,,,,,,lexapro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sick,,,,,,,,,heterosexual,,,chinaman,,,money,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,single parent,,,,,,unsupportive,,,half - sister,,,,,,,,,spank,,,testy,,,,,,lunesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,somatic,,,,,,,,,homophob,,,chink,,,mortgage,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,social isolation,,,,,,verbal abuse,,,honeymoon,,,,,,,,,spit in my face,,,the last straw,,,,,,MDMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,somatization,,,,,,,,,homosexual,,,cholo,,,my credit,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,solitary,,,,,,we get into an argument,,,house mate,,,,,,,,,stab,,,take offense,,,,,,NA meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spinal cord injury,,,,,,,,,hormone,,,cissexism,,,negotiate,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,solitary confinement,,,,,,we be not compatible,,,housemate,,,,,,,,,stab I,,,unfriendly,,,,,,Narcotics Anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sprain,,,,,,,,,identity crisis,,,classist,,,network,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,solitude,,,,,,widow,,,hubby,,,,,,,,,strangle,,,unkind,,,,,,Prozac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stroke,,,,,,,,,intersex,,,colorism,,,occupation,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,someone to talk to,,,,,,,,,husband,,,,,,,,,strangle I,,,violent,,,,,,Ritalin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,syndrome,,,,,,,,,lady boy,,,concentration camp,,,out of business,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,standoffish,,,,,,,,,in - law,,,,,,,,,threat,,,volatile,,,,,,thc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,throw up,,,,,,,,,ladyboy,,,coon,,,overwork,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,third wheel,,,,,,,,,kin,,,,,,,,,threaten I,,,wrath,,,,,,TRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thyroid,,,,,,,,,lesbian,,,cultural appropriation,,,overwork,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,turn to anyone,,,,,,,,,kindre,,,,,,,,,throw I,,,yell,,,,,,valium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tingle,,,,,,,,,lgbt,,,cultural insensitivity,,,owner,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,unmarried,,,,,,,,,mama,,,,,,,,,take out a gun,,,,,,,,,xanax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tourette 's,,,,,,,,,lgbtq,,,culturally appropriate,,,pay,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,unpopular,,,,,,,,,marital,,,,,,,,,use the belt,,,,,,,,,Zoloft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tumor,,,,,,,,,lithsexual,,,deadname,,,pay off,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,unwanted,,,,,,,,,marriage,,,,,,,,,verbal abuse,,,,,,,,,aa meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ulcer,,,,,,,,,male,,,dehumanization,,,paycheck,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,wallflower,,,,,,,,,marry,,,,,,,,,violence,,,,,,,,,acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vertigo,,,,,,,,,man,,,denial of right,,,payment,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,want someone to talk,,,,,,,,,marry,,,,,,,,,violent,,,,,,,,,adderal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,virus,,,,,,,,,masculine,,,denigration,,,pension,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,want to hang out,,,,,,,,,mate,,,,,,,,,war,,,,,,,,,adderall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vomit,,,,,,,,,man,,,derogatory,,,performance,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,want to love,,,,,,,,,mentor,,,,,,,,,be beat,,,,,,,,,addict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,man who have sex with man,,,discriminate,,,poverty,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,widow,,,,,,,,,mom,,,,,,,,,weapon,,,,,,,,,alprazolam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monosexual,,,discrimination,,,price,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mother,,,,,,,,,whip,,,,,,,,,amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,msm ( man who have sex with man ),,,discriminatory,,,productivity,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mother in law,,,,,,,,,wound,,,,,,,,,barbiturate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mtf ( male to female ),,,diversity,,,promotion,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,my baby,,,,,,,,,wrestle,,,,,,,,,beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multigender,,,diversity and inclusion,,,property,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,my ex,,,,,,,,,yell,,,,,,,,,benzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutrois,,,dyke,,,psychological safety,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,my kid,,,,,,,,,,,,,,,,,,benzodiazepine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non binary,,,ethno - religious bias,,,purchase,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,my relative,,,,,,,,,,,,,,,,,,blackout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non - binary,,,ethnocentrism,,,quota,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neighbor,,,,,,,,,,,,,,,,,,cannabinoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonbinary,,,exclusion,,,rent,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nephew,,,,,,,,,,,,,,,,,,cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,omnisexual,,,fag,,,retire,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newborn,,,,,,,,,,,,,,,,,,capsule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pangender,,,faggot,,,retirement,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,niece,,,,,,,,,,,,,,,,,,chalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pansexual,,,fanatical,,,revenue,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nurture,,,,,,,,,,,,,,,,,,cialis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poly,,,fat shaming,,,rich,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nurture,,,,,,,,,,,,,,,,,,cigarete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polyamorous,,,feminism,,,salary,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,our baby,,,,,,,,,,,,,,,,,,cigarette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polysexual,,,gender bias,,,save enough money,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,papa,,,,,,,,,,,,,,,,,,cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pronoun,,,gender discrimination,,,save money,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parent,,,,,,,,,,,,,,,,,,codeine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,queer,,,gender pay gap,,,saving,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partner,,,,,,,,,,,,,,,,,,codone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,queerplatonic,,,genderism,,,severance,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peer,,,,,,,,,,,,,,,,,,coke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,question,,,gerontophobia,,,taxis,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,protege,,,,,,,,,,,,,,,,,,cold turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sexual orientation,,,ghetto,,,teamwork,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,protégé,,,,,,,,,,,,,,,,,,concerta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sexual preference,,,glass ceiling,,,tenant,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relationship,,,,,,,,,,,,,,,,,,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sexuality,,,gulag,,,toxic environment,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,romance,,,,,,,,,,,,,,,,,,crank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shemale,,,hate speech,,,trust fund,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,romantic,,,,,,,,,,,,,,,,,,crave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skoliosexual,,,heterosexism,,,trustfund,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roomate,,,,,,,,,,,,,,,,,,craving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,third gender,,,hillbilly,,,tuition,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roommate,,,,,,,,,,,,,,,,,,crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,threesome,,,homophobia,,,turnover,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sible,,,,,,,,,,,,,,,,,,detox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tomboy,,,homophobic,,,unemploy,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,significant other,,,,,,,,,,,,,,,,,,diazepam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tomgirl,,,immigrant,,,unemployment,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sister,,,,,,,,,,,,,,,,,,do drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tranny,,,incel,,,wage,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sister in law,,,,,,,,,,,,,,,,,,dope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tran,,,inclusion,,,wage,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,son,,,,,,,,,,,,,,,,,,dope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trans man,,,inequality,,,wealth,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,son in law,,,,,,,,,,,,,,,,,,dosage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trans woman,,,inequity,,,welfare,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soulmate,,,,,,,,,,,,,,,,,,dose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transfeminine,,,ingroup,,,work,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spouse,,,,,,,,,,,,,,,,,,drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transgender,,,insult I,,,work - life balance,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stepbrother,,,,,,,,,,,,,,,,,,drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transition,,,intersectionality,,,workload,,,,,,,,
